Bundesland;Regionalbereich;Bf. Nr.;Station;Bf DS 100 Abk.;Kategorie Vst;Straße;PLZ;Ort;Aufgabenträger;Verkehrsverbünde;Fernverkehr;Nahverkehr
Sachsen;Erzgebirgsbahn (EGB);5543;Scharfenstein;DSS;SOB;Bahnhofstr. 5-15;83135;Schechen;Verkehrsverbund Mittelsachsen;-;nein;ja
Bayern;Südostbayernbahn (SOB);5551;Schechen;MSC;EGB;-;-;Scheibenberg;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5553;Scheibenberg;DSG;EGB;-;-;Schlettau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5589;Schlettau (Erzgeb);DSCL;WFB 2;Bahnhofstraße;63936;Schneeberg;Verkehrsverbund Mittelsachsen;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);5625;Schneeberg im Odenwald;NSCB;WFB 1;Bahnhofstraße 14;74575;Schrozberg;Bayrische Eisenbahn Gesellschaft;KreisVerkehr Schwäbisch Hall;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);5689;Schrozberg;TSZG;OBS;Bahnhof 1;7427;Schwarzburg;Nahverkehrsgesellschaft Baden-Württemberg;-;nein;ja
Thüringen;Oberweißbacher Berg- und Schwarzatalbahn (OBS);5720;Schwarzburg;USCG;EGB;-;-;Schwarzenberg;Nahverkehrsservicegesellschaft Thüringen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5728;Schwarzenberg (Erzgeb);DSC;EGB;-;-;Schwarzenberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5729;Schwarzenberg (Erzgeb) Hp;DSCH;EGB;-;-;Schwarzenberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5730;Schwarzenberg-Neuwelt;DSCN;EGB;-;-;Sehmatal;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5801;Sehma;DSEH;SOB;Seiboldsdorfer Mühle 2;83278;Traunstein;Verkehrsverbund Mittelsachsen;-;nein;ja
Bayern;Südostbayernbahn (SOB);5803;Seiboldsdorf;MSBD;SOB;Bahnhofstraße;83313;Siegsdorf;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);5845;Siegsdorf;MSGD;EGB;-;-;Wilkau-Haßlau;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5858;Silberstraße;DSBS;SOB;Bahnhofplatz 1;84359;Simbach a.Inn;Verkehrsverbund Mittelsachsen;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Bayern;Südostbayernbahn (SOB);5859;Simbach (Inn);MSBI;KHB 2;-;-;Münchhausen;Bayrische Eisenbahn Gesellschaft;Rhein-Main-Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);5862;Simtshausen;FSMH;OBS;Bahnhofstraße 1;7429;Unterweißbach;Rhein-Main-Verkehrsverbund;-;nein;ja
Thüringen;Oberweißbacher Berg- und Schwarzatalbahn (OBS);5874;Sitzendorf-Unterweißbach;USDF;SOB;Heckenstr. 10-21;83564;Soyen;Nahverkehrsservicegesellschaft Thüringen;-;nein;ja
